productId,productName,variantId,sku,size,price,soldOut,unlimited,quantity,categories,subscription,url
689e0a74373b960a5f82722c,Almond,fdc685d4-ee62-4129-aad0-62e3ecbc8fca,SQ6386024,10oz,35,false,true,,fall,,https://www.thecandlegarden.co/shop/p/almond-soy-candle-autumn-fall
689e0a74373b960a5f82722c,Almond,eb42c70a-65b2-4787-ad26-9e4189200362,SQ4165518,18oz,42,false,true,,fall,,https://www.thecandlegarden.co/shop/p/almond-soy-candle-autumn-fall
689e076efe73e540c7ddfffe,Apple Cinnamon,c9a3085b-584c-4272-a17c-6a1d0bb8182a,SQ8230482,10oz,35,false,true,,fall,,https://www.thecandlegarden.co/shop/p/apple-cinnamon-soy-candle-autumn-rzwd3-b45l2-fs7yy
689e076efe73e540c7ddfffe,Apple Cinnamon,441c799b-0a56-48a4-a390-dfed2601e9ca,SQ1231815,18oz,42,false,true,,fall,,https://www.thecandlegarden.co/shop/p/apple-cinnamon-soy-candle-autumn-rzwd3-b45l2-fs7yy
689e0618b8b38e4e07b0afe6,Apple Picking,f066db4f-b4dd-4e66-b526-b57f9cd90497,SQ4200084,10oz,35,false,true,,fall,,https://www.thecandlegarden.co/shop/p/apple-picking-soy-candle-autumn-rzwd3-b45l2
689e0618b8b38e4e07b0afe6,Apple Picking,308cb522-00b8-4d97-93a7-f714efdaeb50,SQ3162035,18oz,42,false,true,,fall,,https://www.thecandlegarden.co/shop/p/apple-picking-soy-candle-autumn-rzwd3-b45l2
65faf809b85f1d19a61c8374,Atlantic Beach,8728e95f-e99a-4521-9ac0-4e02aa8c5f40,SQ7748874,10oz,35,false,true,,classic,,https://www.thecandlegarden.co/shop/p/atlantic-beach-soy-candle
65faf809b85f1d19a61c8374,Atlantic Beach,c6b050d8-3daa-4ff1-abf9-37b28e0890aa,SQ3192628,18oz,42,false,true,,classic,,https://www.thecandlegarden.co/shop/p/atlantic-beach-soy-candle
68af77ba17fb1a67dddb3689,Autumn Ambrette,7fae3345-f7c9-439d-ae72-105b9a2ee1a8,SQ4821708,10oz,35,false,true,,fall,,https://www.thecandlegarden.co/shop/p/autumn-ambrette-candle-soy-fall-jacksonville-ls3le-pnxm8-gaake-dgwdp
68af77ba17fb1a67dddb3689,Autumn Ambrette,68239852-422f-494f-991c-dc2a6e58be57,SQ2812173,18oz,42,false,true,,fall,,https://www.thecandlegarden.co/shop/p/autumn-ambrette-candle-soy-fall-jacksonville-ls3le-pnxm8-gaake-dgwdp
68e6cd88ac7af54391a3e33b,Bills Candle,bc97fe9a-376c-4dc8-adcd-c4fa5c03b7fd,SQ6383752,,40,false,false,28,classic,,https://www.thecandlegarden.co/shop/p/buffalo-bills-soy-candle-hand-poured-show-girl-ealdj-2x37n
65faf809b85f1d19a61c836f,Bougie Bougie,79bfba9c-252b-4ff2-abe7-01ecea35df9d,SQ9469681,,135,false,false,95,classic,,https://www.thecandlegarden.co/shop/p/bougie-bougie-large-luxury-candle
65faf809b85f1d19a61c836f,Bougie Bougie,4846fa13-423b-4b5f-8428-0c57f756b669,SQ2875121,,135,false,false,98,classic,,https://www.thecandlegarden.co/shop/p/bougie-bougie-large-luxury-candle
65faf809b85f1d19a61c836f,Bougie Bougie,7e6c63a3-af01-44b0-8098-bbc48d2dd76b,SQ8079092,,135,false,false,100,classic,,https://www.thecandlegarden.co/shop/p/bougie-bougie-large-luxury-candle
65faf809b85f1d19a61c836f,Bougie Bougie,45e9781c-7f8d-4a7e-892c-dbbc9a0a19fe,SQ7550828,,135,false,false,100,classic,,https://www.thecandlegarden.co/shop/p/bougie-bougie-large-luxury-candle
65faf809b85f1d19a61c836f,Bougie Bougie,abe8a2fb-d032-43ac-99d1-99347b1f92b5,SQ8027415,,135,false,false,98,classic,,https://www.thecandlegarden.co/shop/p/bougie-bougie-large-luxury-candle
65faf809b85f1d19a61c836f,Bougie Bougie,36fce0ef-b23f-44b3-a0be-a91e580e7acd,SQ0052848,,135,false,false,100,classic,,https://www.thecandlegarden.co/shop/p/bougie-bougie-large-luxury-candle
65faf809b85f1d19a61c836f,Bougie Bougie,3c96ad7b-d1f1-405c-b44f-11eed731fc8e,SQ8893909,,135,false,false,99,classic,,https://www.thecandlegarden.co/shop/p/bougie-bougie-large-luxury-candle
65faf809b85f1d19a61c836f,Bougie Bougie,21420f47-dca2-4a34-a3e9-d58432bc6905,SQ8551406,,135,false,false,98,classic,,https://www.thecandlegarden.co/shop/p/bougie-bougie-large-luxury-candle
65faf809b85f1d19a61c836f,Bougie Bougie,28f500f1-3a97-478a-ac5b-0a401dd107ba,SQ1213127,,135,false,false,100,classic,,https://www.thecandlegarden.co/shop/p/bougie-bougie-large-luxury-candle
65faf809b85f1d19a61c836f,Bougie Bougie,0666958f-acf7-4237-b3d8-b0891bdc6ee7,SQ2042481,,135,false,false,100,classic,,https://www.thecandlegarden.co/shop/p/bougie-bougie-large-luxury-candle
67016d8629123a302136428f,"But First, Coffee",282b6655-5cce-4c6a-b4e8-907b135153c3,SQ2102875,10oz,35,false,true,,classic,,https://www.thecandlegarden.co/shop/p/but-first-soy-candle-fall-45zxk-c4eka-coffee
67016d8629123a302136428f,"But First, Coffee",60313cd3-e170-407f-9d02-7df3d15e93a3,SQ3251720,18oz,42,false,true,,classic,,https://www.thecandlegarden.co/shop/p/but-first-soy-candle-fall-45zxk-c4eka-coffee
661eb69f5660476758a10959,Candle Class Gift Card,5962bdb2-4550-43b6-b7d9-e06e95239601,SQ3052356,,130,false,true,,gift-card,,https://www.thecandlegarden.co/giftcard/p/candle-class-gift-card
661eb69f5660476758a10959,Candle Class Gift Card,6a6e723e-7022-4f23-81bf-c4bf62d6693d,SQ7153537,,195,false,true,,gift-card,,https://www.thecandlegarden.co/giftcard/p/candle-class-gift-card
661eb69f5660476758a10959,Candle Class Gift Card,93234ecc-38ea-48a1-9a7d-9a8cd8d085c7,SQ0349746,,260,false,true,,gift-card,,https://www.thecandlegarden.co/giftcard/p/candle-class-gift-card
661eb69f5660476758a10959,Candle Class Gift Card,dfb4e42f-e2ce-4c66-b5cd-03bdfdb0b704,SQ8581285,,325,false,true,,gift-card,,https://www.thecandlegarden.co/giftcard/p/candle-class-gift-card
661eb69f5660476758a10959,Candle Class Gift Card,1639606c-c198-4e2b-9c5c-e9d73e6ac51c,SQ4906475,,390,false,true,,gift-card,,https://www.thecandlegarden.co/giftcard/p/candle-class-gift-card
661eb69f5660476758a10959,Candle Class Gift Card,d96740ce-05f1-4b8b-b059-79a4fc65766c,SQ7187712,,90,false,true,,gift-card,,https://www.thecandlegarden.co/giftcard/p/candle-class-gift-card
661eb69f5660476758a10959,Candle Class Gift Card,ee7ff3c6-785b-401c-a631-23ac1c8ee2b0,SQ3288749,,60,false,true,,gift-card,,https://www.thecandlegarden.co/giftcard/p/candle-class-gift-card
